"school","university"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΣΠΑΡΤΗ)","ΤΕΙ ΠΕΛ/ΝΗΣΟΥ"
"ΣΧΕΔΙΑΣΜΟΥ & ΤΕΧΝΟΛΟΓΙΑΣ ΕΝΔΥΣΗΣ (ΚΙΛΚΙΣ)","ΤΕΙ ΚΕΝΤΡ.ΜΑΚΕΔ"
"ΣΧΕΔΙΑΣΜΟΥ & ΤΕΧΝΟΛΟΓΙΑΣ ΞΥΛΟΥ ΚΑΙ ΕΠΙΠΛΟΥ ΤΕ (ΚΑΡΔΙΤΣΑ)","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΤΕΧΝΟΛΟΓΙΑΣ ΑΛΙΕΙΑΣ - ΥΔΑΤΟΚΑΛΛΙΕΡΓΕΙΩΝ (ΜΕΣΟΛΟΓΓΙ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΤΕΧΝΟΛΟΓΙΑΣ ΗΧΟΥ & ΜΟΥΣΙΚΩΝ ΟΡΓΑΝΩΝ (ΛΗΞΟΥΡΙ)","ΤΕΙ ΙΟΝΙΩΝ"
"ΤΕΧΝΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΤΕ (ΖΑΚΥΝΘΟΣ) - ΣΥΝΤΗΡΗΣΗΣ ΠΟΛΙΤΙΣΜΙΚΗΣ ΚΛΗΡΟΝΟΜΙΑΣ ΤΕ","ΤΕΙ ΙΟΝΙΩΝ"
"ΤΕΧΝΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΤΕ (ΖΑΚΥΝΘΟΣ) - ΤΕΧΝΟΛΟΓΙΩΝ ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΤΕ","ΤΕΙ ΙΟΝΙΩΝ"
"ΦΩΤΟΓΡΑΦΙΑΣ & ΟΠΤΙΚΟΑΚΟΥΣΤΙΚΩΝ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΨΗΦΙΑΚΩΝ ΜΕΣΩΝ & ΕΠΙΚΟΙΝΩΝΙΑΣ ΤΕ (ΑΡΓΟΣΤΟΛΙ)","ΤΕΙ ΙΟΝΙΩΝ"
"ΨΗΦΙΑΚΩΝ ΜΕΣΩΝ & ΕΠΙΚΟΙΝΩΝΙΑΣ ΤΕ (ΚΑΣΤΟΡΙΑ)","ΤΕΙ ΔΥΤ.ΜΑΚ."
,
"ΑΝΩΤΕΡΕΣ ΣΧΟΛΕΣ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ",
"ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΡΗΤΗΣ (ΑΣΤΕΚ)","ΑΣΤΕ"
"ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΡΟΔΟΥ (ΑΣΤΕΡ)","ΑΣΤΕ"
